,0
drug_levetiracetam,0.054232977976760514
lab_magnesium,0.05476659554196691
drug_calcium_gluconate,0.05526533898795456
procedure_9604,0.05671097244095479
drug_phenylephrine,0.06157780937851644
drug_prochlorperazine,0.062212999844277264
drug_oxycodone_sr_(oxycontin),0.06477807075577388
drug_furosemide,0.06479363706737894
vital_heart_rate,0.06565931960501346
lab_lactate_dehydrogenase_(ld),0.0672259505056667
lab_alkaline_phosphatase,0.0676952962566943
lab_blasts,0.06884352635454852
lab_ph,0.06992780283670726
drug_d5w,0.07214301483928805
drug_albuterol_0.083%_neb_soln,0.07300662054186333
lab_glucose,0.075467688828412
drug_ipratropium-albuterol_neb,0.07948103462462841
lab_inr(pt),0.08126462208113266
drug_sodium_chloride_0.9%,0.08284886483852513
lab_white_blood_cells,0.08530871160833217
admission_type_EW EMER.,0.08616742980529198
drug_metronidazole_(flagyl),0.08643825580663525
lab_neutrophils,0.08646793867853035
lab_stx3,0.08782961654692695
drug_famotidine,0.08898499416113129
drug_micafungin,0.09024529688291298
drug_olanzapine_(disintegrating_tablet),0.0906472729450652
procedure_9671,0.09075272271245866
lab_ptt,0.0942750845637684
drug_ns,0.09594124525348455
drug_vancomycin,0.09992436079954843
drug_heparin_flush_(10_units/ml),0.10224786916576184
drug_sodium_chloride_3%_(hypertonic),0.12854414449858298
lab_anion_gap,0.1336363278029427
lab_specific_gravity,0.13472411858370462
admission_location_TRANSFER FROM SKILLED NURSING FACILITY,0.13748872065185122
drug_mannitol_20_%,0.13923202603452967
lab_rdw,0.1428263649565742
lab_potassium,0.1447069646777441
drug_chlorhexidine_gluconate_0.12%_oral_rinse,0.1499295373090496
insurance_Other,0.15376689479095798
vital_respiratory_rate,0.15870150818792114
drug_lorazepam,0.15934059278608295
lab_urea_nitrogen,0.1621005904381994
drug_acetaminophen_iv,0.16647455108182058
lab_lactate,0.16840073009021084
lab_pco2,0.18477956089833997
drug_propofol,0.19788334777506023
drug_scopolamine_patch,0.24358953169922054
drug_morphine_sulfate,0.3183934195328169
anchor_age,0.578285458116584
